,Unnamed: 0,road_name,direction,lats,lons,sp,su,ffs,jf,loni,lati,lat_start,lat_end,lon_start,lon_end
0,1176,Wolvercote,+,"[51.79751, 51.79719]","[-1.28848, -1.28802]",56.0,56.0,73.0,1.70632,"[-1.28848, -1.28802]","[51.79751, 51.79719]",51.79751,51.79719,-1.28848,-1.28802
1,1177,Wolvercote,+,"[51.79719, 51.79704]","[-1.28802, -1.28746]",56.0,56.0,73.0,1.70632,"[-1.28802, -1.28746]","[51.79719, 51.79704]",51.79719,51.79704,-1.28802,-1.28746
2,1178,Wolvercote,+,"[51.79704, 51.79704]","[-1.28746, -1.28735]",56.0,56.0,73.0,1.70632,"[-1.28746, -1.28735]","[51.79704, 51.79704]",51.79704,51.79704,-1.28746,-1.28735
3,1179,Wolvercote,+,"[51.79704, 51.79701, 51.79696, 51.79691, 51.79686]","[-1.28735, -1.28727, -1.28722, -1.2872, -1.28721]",56.0,56.0,73.0,1.7063200000000005,"[-1.28735, -1.28727, -1.28722, -1.2872, -1.28721]","[51.79704, 51.79701, 51.79696, 51.79691, 51.79686]",51.79704,51.79686,-1.28735,-1.28721
4,1180,Wolvercote,+,"[51.79686, 51.79681]","[-1.28721, -1.28726]",56.0,56.0,73.0,1.70632,"[-1.28721, -1.28726]","[51.79686, 51.79681]",51.79686,51.79681,-1.28721,-1.28726
5,1181,Wolvercote,+,"[51.79681, 51.79657, 51.79639, 51.79622, 51.79607, 51.79593]","[-1.28726, -1.28738, -1.28745, -1.28747, -1.28746, -1.28744]",35.0,35.0,44.0,1.32402,"[-1.28726, -1.28738, -1.28745, -1.28747, -1.28746, -1.28744]","[51.79681, 51.79657, 51.79639, 51.79622, 51.79607, 51.79593]",51.79681,51.79593,-1.28726,-1.28744
6,1182,Wolvercote,+,"[51.79593, 51.7958, 51.79569, 51.79559]","[-1.28744, -1.2874, -1.28735, -1.28727]",35.0,35.0,44.0,1.32402,"[-1.28744, -1.2874, -1.28735, -1.28727]","[51.79593, 51.7958, 51.79569, 51.79559]",51.79593,51.79559,-1.28744,-1.28727
7,1183,Wolvercote,+,"[51.79559, 51.79549, 51.79535, 51.79526, 51.79518]","[-1.28727, -1.28717, -1.28701, -1.28688, -1.28674]",35.0,35.0,44.0,1.32402,"[-1.28727, -1.28717, -1.28701, -1.28688, -1.28674]","[51.79559, 51.79549, 51.79535, 51.79526, 51.79518]",51.79559,51.79518,-1.28727,-1.28674
8,1184,Wolvercote,+,"[51.79518, 51.79514, 51.79511, 51.7951]","[-1.28674, -1.2866, -1.28642, -1.28619]",35.0,35.0,44.0,1.32402,"[-1.28674, -1.2866, -1.28642, -1.28619]","[51.79518, 51.79514, 51.79511, 51.7951]",51.79518,51.7951,-1.28674,-1.28619
9,1185,Wolvercote,+,"[51.7951, 51.79514]","[-1.28619, -1.28609]",35.0,35.0,44.0,1.32402,"[-1.28619, -1.28609]","[51.7951, 51.79514]",51.7951,51.79514,-1.28619,-1.28609
10,1186,Wolvercote,+,"[51.79514, 51.79518, 51.79519, 51.79519, 51.79518, 51.79517, 51.79515, 51.79507, 51.79499, 51.79488]","[-1.28609, -1.28591, -1.28572, -1.28553, -1.28543, -1.28534, -1.28526, -1.28503, -1.2849, -1.28481]",35.0,35.0,44.0,1.3240200000000002,"[-1.28609, -1.28591, -1.28572, -1.28553, -1.28543, -1.28534, -1.28526, -1.28503, -1.2849, -1.28481]","[51.79514, 51.79518, 51.79519, 51.79519, 51.79518, 51.79517, 51.79515, 51.79507, 51.79499, 51.79488]",51.79514,51.79488,-1.28609,-1.28481
11,1187,Wolvercote,+,"[51.79488, 51.79478, 51.79467]","[-1.28481, -1.28474, -1.2847]",35.0,35.0,44.0,1.32402,"[-1.28481, -1.28474, -1.2847]","[51.79488, 51.79478, 51.79467]",51.79488,51.79467,-1.28481,-1.2847
12,1188,Wolvercote,+,"[51.79467, 51.79456, 51.79444, 51.79434]","[-1.2847, -1.2847, -1.28473, -1.28477]",35.0,35.0,44.0,1.32402,"[-1.2847, -1.2847, -1.28473, -1.28477]","[51.79467, 51.79456, 51.79444, 51.79434]",51.79467,51.79434,-1.2847,-1.28477
13,1189,Wolvercote,+,"[51.79434, 51.79423]","[-1.28477, -1.28486]",35.0,35.0,44.0,1.32402,"[-1.28477, -1.28486]","[51.79434, 51.79423]",51.79434,51.79423,-1.28477,-1.28486
14,1190,Wolvercote,+,"[51.79423, 51.79404, 51.79395]","[-1.28486, -1.28478, -1.28474]",33.0,33.0,46.0,1.87232,"[-1.28486, -1.28478, -1.28474]","[51.79423, 51.79404, 51.79395]",51.79423,51.79395,-1.28486,-1.28474
15,1191,Wolvercote,+,"[51.79395, 51.7937, 51.79331, 51.79306]","[-1.28474, -1.28459, -1.28436, -1.28421]",33.0,33.0,46.0,1.87232,"[-1.28474, -1.28459, -1.28436, -1.28421]","[51.79395, 51.7937, 51.79331, 51.79306]",51.79395,51.79306,-1.28474,-1.28421
16,1192,Wolvercote,+,"[51.79306, 51.79266]","[-1.28421, -1.28398]",33.0,33.0,46.0,1.87232,"[-1.28421, -1.28398]","[51.79306, 51.79266]",51.79306,51.79266,-1.28421,-1.28398
17,1193,Wolvercote,+,"[51.79266, 51.79242]","[-1.28398, -1.28383]",33.0,33.0,46.0,1.87232,"[-1.28398, -1.28383]","[51.79266, 51.79242]",51.79266,51.79242,-1.28398,-1.28383
18,1194,Wolvercote,+,"[51.79242, 51.79202, 51.79194]","[-1.28383, -1.28361, -1.28356]",33.0,33.0,46.0,1.87232,"[-1.28383, -1.28361, -1.28356]","[51.79242, 51.79202, 51.79194]",51.79242,51.79194,-1.28383,-1.28356
19,1195,Wolvercote,+,"[51.79194, 51.79183, 51.79149]","[-1.28356, -1.2835, -1.2833]",33.0,33.0,46.0,1.87232,"[-1.28356, -1.2835, -1.2833]","[51.79194, 51.79183, 51.79149]",51.79194,51.79149,-1.28356,-1.2833
20,1216,Wolvercote,-,"[51.7926, 51.79278]","[-1.28412, -1.28423]",49.0,49.0,52.0,0.0,"[-1.28412, -1.28423]","[51.7926, 51.79278]",51.7926,51.79278,-1.28412,-1.28423
21,1217,Wolvercote,-,"[51.79278, 51.79294, 51.79307, 51.79331]","[-1.28423, -1.28431, -1.28439, -1.28455]",49.0,49.0,52.0,0.0,"[-1.28423, -1.28431, -1.28439, -1.28455]","[51.79278, 51.79294, 51.79307, 51.79331]",51.79278,51.79331,-1.28423,-1.28455
22,1218,Wolvercote,-,"[51.79331, 51.79352]","[-1.28455, -1.28468]",49.0,49.0,52.0,0.0,"[-1.28455, -1.28468]","[51.79331, 51.79352]",51.79331,51.79352,-1.28455,-1.28468
23,1219,Wolvercote,-,"[51.79352, 51.79363, 51.79372, 51.7938, 51.79387]","[-1.28468, -1.28477, -1.28486, -1.28498, -1.28511]",49.0,49.0,52.0,0.0,"[-1.28468, -1.28477, -1.28486, -1.28498, -1.28511]","[51.79352, 51.79363, 51.79372, 51.7938, 51.79387]",51.79352,51.79387,-1.28468,-1.28511
24,1220,Wolvercote,-,"[51.79387, 51.79394, 51.79399]","[-1.28511, -1.28526, -1.28542]",49.0,49.0,52.0,0.0,"[-1.28511, -1.28526, -1.28542]","[51.79387, 51.79394, 51.79399]",51.79387,51.79399,-1.28511,-1.28542
25,1221,Wolvercote,-,"[51.79399, 51.79397]","[-1.28542, -1.28554]",49.0,49.0,52.0,0.0,"[-1.28542, -1.28554]","[51.79399, 51.79397]",51.79399,51.79397,-1.28542,-1.28554
26,1222,Wolvercote,-,"[51.79397, 51.79396, 51.79397, 51.79401, 51.79403, 51.79405, 51.79408, 51.79416, 51.79424]","[-1.28554, -1.28575, -1.28591, -1.28613, -1.28621, -1.28628, -1.28636, -1.28652, -1.2866]",49.0,49.0,52.0,0.0,"[-1.28554, -1.28575, -1.28591, -1.28613, -1.28621, -1.28628, -1.28636, -1.28652, -1.2866]","[51.79397, 51.79396, 51.79397, 51.79401, 51.79403, 51.79405, 51.79408, 51.79416, 51.79424]",51.79397,51.79424,-1.28554,-1.2866
27,1223,Wolvercote,-,"[51.79424, 51.79432, 51.79438, 51.79446, 51.79452]","[-1.2866, -1.28663, -1.28665, -1.28667, -1.28667]",49.0,49.0,52.0,0.0,"[-1.2866, -1.28663, -1.28665, -1.28667, -1.28667]","[51.79424, 51.79432, 51.79438, 51.79446, 51.79452]",51.79424,51.79452,-1.2866,-1.28667
28,1224,Wolvercote,-,"[51.79452, 51.79496]","[-1.28667, -1.28703]",49.0,49.0,56.0,0.77154,"[-1.28667, -1.28703]","[51.79452, 51.79496]",51.79452,51.79496,-1.28667,-1.28703
29,1225,Wolvercote,-,"[51.79496, 51.79514]","[-1.28703, -1.28717]",49.0,49.0,56.0,0.77154,"[-1.28703, -1.28717]","[51.79496, 51.79514]",51.79496,51.79514,-1.28703,-1.28717
30,1226,Wolvercote,-,"[51.79514, 51.79525, 51.79547]","[-1.28717, -1.28725, -1.28742]",49.0,49.0,56.0,0.77154,"[-1.28717, -1.28725, -1.28742]","[51.79514, 51.79525, 51.79547]",51.79514,51.79547,-1.28717,-1.28742
31,1227,Wolvercote,-,"[51.79547, 51.79568, 51.79587, 51.79608, 51.79626, 51.7964, 51.79653]","[-1.28742, -1.28755, -1.28762, -1.28765, -1.28764, -1.28761, -1.28757]",49.0,49.0,56.0,0.77154,"[-1.28742, -1.28755, -1.28762, -1.28765, -1.28764, -1.28761, -1.28757]","[51.79547, 51.79568, 51.79587, 51.79608, 51.79626, 51.7964, 51.79653]",51.79547,51.79653,-1.28742,-1.28757
