Unnamed: 0,road_name,connections,direction,lat_start,lat_end,lon_start,lon_end,feeding_roads,type
1176,Wolvercote,Wolvercote1176,+,51.79751,51.79719,-1.28848,-1.28802,,road
1177,Wolvercote,Wolvercote1177,+,51.79719,51.79704,-1.28802,-1.28746,1176,road
1178,Wolvercote,Wolvercote1178,+,51.79704,51.79704,-1.28746,-1.28735,"[1963,1177]",roundabout
1179,Wolvercote,Wolvercote1179,+,51.79704,51.79686,-1.28735,-1.28721,1178,roundabout
1180,Wolvercote,Wolvercote1180,+,51.79686,51.79681,-1.28721,-1.28726,1179,roundabout
1181,Wolvercote,Wolvercote1181,+,51.79681,51.79593,-1.28726,-1.28744,1180,joint
1182,Wolvercote,Wolvercote1182,+,51.79593,51.79559,-1.28744,-1.28727,1181,road
1183,Wolvercote,Wolvercote1183,+,51.79559,51.79518,-1.28727,-1.28674,1182,road
1184,Wolvercote,Wolvercote1184,+,51.79518,51.7951,-1.28674,-1.28619,1183,road
1185,Wolvercote,Wolvercote1185,+,51.7951,51.79514,-1.28619,-1.28609,1184,road
1186,Wolvercote,Wolvercote1186,+,51.79514,51.79488,-1.28609,-1.28481,"[1185,1223]",roundabout
1187,Wolvercote,Wolvercote1187,+,51.79488,51.79467,-1.28481,-1.2847,"[1186,1506]",roundabout
1188,Wolvercote,Wolvercote1188,+,51.79467,51.79434,-1.2847,-1.28477,1187,roundabout
1189,Wolvercote,Wolvercote1189,+,51.79434,51.79423,-1.28477,-1.28486,1188,joint
1190,Wolvercote,Wolvercote1190,+,51.79423,51.79395,-1.28486,-1.28474,1189,road
1191,Wolvercote,Wolvercote1191,+,51.79395,51.79306,-1.28474,-1.28421,1190,road
1192,Wolvercote,Wolvercote1192,+,51.79306,51.79266,-1.28421,-1.28398,1191,road
1193,Wolvercote,Wolvercote1193,+,51.79266,51.79242,-1.28398,-1.28383,1192,road
1194,Wolvercote,Wolvercote1194,+,51.79242,51.79194,-1.28383,-1.28356,1193,road
1195,Wolvercote,Wolvercote1195,+,51.79194,51.79149,-1.28356,-1.2833,1194,road
1216,Wolvercote,Wolvercote1216,-,51.7926,51.79278,-1.28412,-1.28423,1195,road
1217,Wolvercote,Wolvercote1217,-,51.79278,51.79331,-1.28423,-1.28455,1216,road
1218,Wolvercote,Wolvercote1218,-,51.79331,51.79352,-1.28455,-1.28468,1217,road
1219,Wolvercote,Wolvercote1219,-,51.79352,51.79387,-1.28468,-1.28511,1218,road
1220,Wolvercote,Wolvercote1220,-,51.79387,51.79399,-1.28511,-1.28542,1219,joint
