,model,pre_len,mse,mae,r2,precipitationIntensity,temperature,humidity,weatherCode
2021-07-09 09:40:00,,,,,,0.0,19.01666667,72.33333333,Mostly Sunny
2021-07-09 09:45:00,,,,,,0.0,19.37,71.0,Mostly Sunny
2021-07-09 09:50:00,,,,,,0.0,19.37,71.0,Mostly Sunny
2021-07-09 09:55:00,,,,,,0.0,19.37,71.0,Mostly Sunny
2021-07-09 10:00:00,,,,,,0.0,19.37,71.0,Mostly Sunny
2021-07-09 10:05:00,,,,,,0.0,19.37,71.0,Mostly Sunny
2021-07-09 10:10:00,,,,,,0.0,19.37,71.0,Mostly Sunny
2021-07-09 10:15:00,,,,,,0.0,19.37,71.0,Mostly Sunny
2021-07-09 10:20:00,,,,,,0.0,19.37,71.0,Mostly Sunny
2021-07-09 10:25:00,,,,,,0.0,19.37,71.0,Mostly Sunny
2021-07-09 10:30:00,,,,,,0.0,19.37,71.0,Mostly Sunny
2021-07-09 10:35:00,,,,,,0.0,19.37,71.0,Mostly Sunny
2021-07-09 10:40:00,,,,,,0.0,19.37,71.0,Mostly Sunny
2021-07-09 10:45:00,,,,,,0.0,19.37,71.0,Mostly Sunny
2021-07-09 10:50:00,,,,,,0.0,19.58,70.0,Mostly Sunny
2021-07-09 10:55:00,,,,,,0.0,19.79,69.0,Mostly Sunny
2021-07-09 11:00:00,,,,,,0.0,20.0,68.0,Partly Cloudy
2021-07-09 11:05:00,,,,,,0.0,20.0,68.0,Partly Cloudy
2021-07-09 11:10:00,,,,,,0.0,20.0,68.0,Partly Cloudy
2021-07-09 11:15:00,,,,,,0.0,20.0,68.0,Partly Cloudy
2021-07-09 11:20:00,,,,,,0.0,20.0,68.0,Partly Cloudy
2021-07-09 11:25:00,,,,,,0.0,20.0,68.0,Partly Cloudy
2021-07-09 11:30:00,,,,,,0.0,20.0,68.0,Partly Cloudy
2021-07-09 11:35:00,,,,,,0.0,20.12333333,67.33333333,Partly Cloudy
2021-07-09 11:40:00,,,,,,0.0,20.24666667,66.66666667,Partly Cloudy
2021-07-09 11:45:00,,,,,,0.0,20.37,66.0,Mostly Cloudy
2021-07-09 11:50:00,,,,,,0.0,20.37,66.0,Mostly Cloudy
2021-07-09 11:55:00,,,,,,0.0,20.37,66.0,Mostly Cloudy
2021-07-09 12:00:00,,,,,,0.0,20.37,66.0,Partly Cloudy
2021-07-09 12:05:00,,,,,,0.0,20.47333333,65.33333333,Partly Cloudy
2021-07-09 12:10:00,,,,,,0.0,20.57666667,64.66666667,Partly Cloudy
2021-07-09 12:15:00,,,,,,0.0,20.68,64.0,Partly Cloudy
2021-07-09 12:20:00,,,,,,0.0,20.68,64.0,Partly Cloudy
2021-07-09 12:25:00,,,,,,0.0,20.68,64.0,Partly Cloudy
2021-07-09 12:30:00,,,,,,0.0,20.68,64.0,Cloudy
2021-07-09 12:35:00,,,,,,0.0,20.68,62.66666667,Cloudy
2021-07-09 12:40:00,,,,,,0.0,20.68,61.33333333,Cloudy
2021-07-09 12:45:00,,,,,,0.0,20.68,60.0,Mostly Cloudy
2021-07-09 12:50:00,,,,,,0.0,20.68,60.0,Mostly Cloudy
2021-07-09 12:55:00,,,,,,0.0,20.68,60.0,Mostly Cloudy
2021-07-09 13:00:00,,,,,,0.0,20.68,60.0,Mostly Cloudy
2021-07-09 13:05:00,,,,,,0.0,20.68,60.0,Mostly Cloudy
2021-07-09 13:10:00,,,,,,0.0,20.68,60.0,Mostly Cloudy
2021-07-09 13:15:00,,,,,,0.0,20.68,60.0,Mostly Cloudy
2021-07-09 13:20:00,,,,,,0.0,20.68,60.0,Mostly Cloudy
2021-07-09 13:25:00,,,,,,0.0,20.68,60.0,Mostly Cloudy
2021-07-09 13:30:00,,,,,,0.0,20.68,60.0,Cloudy
2021-07-09 13:35:00,,,,,,0.0,20.72333333,59.33333333,Cloudy
2021-07-09 13:40:00,,,,,,0.0,20.76666667,58.66666667,Cloudy
2021-07-09 13:45:00,,,,,,0.0,20.81,58.0,Mostly Cloudy
2021-07-09 13:50:00,,,,,,0.0,20.81,58.0,Mostly Cloudy
2021-07-09 13:55:00,,,,,,0.0,20.81,58.0,Mostly Cloudy
2021-07-09 14:00:00,,,,,,0.0,20.81,58.0,Mostly Sunny
2021-07-09 14:05:00,,,,,,0.0,20.81,58.0,Mostly Sunny
2021-07-09 14:10:00,,,,,,0.0,20.81,58.0,Mostly Sunny
2021-07-09 14:15:00,,,,,,0.0,20.81,58.0,Partly Cloudy
2021-07-09 14:20:00,,,,,,0.0,20.81,58.0,Partly Cloudy
2021-07-09 14:25:00,,,,,,0.0,20.81,58.0,Partly Cloudy
2021-07-09 14:30:00,,,,,,0.0,20.81,58.0,Partly Cloudy
2021-07-09 14:35:00,,,,,,0.0,20.93333333,58.0,Partly Cloudy
2021-07-09 14:40:00,,,,,,0.0,21.05666667,58.0,Partly Cloudy
2021-07-09 14:45:00,,,,,,0.0,21.18,58.0,Partly Cloudy
2021-07-09 14:50:00,,,,,,0.0,21.18,58.0,Partly Cloudy
2021-07-09 14:55:00,,,,,,0.0,21.18,58.0,Partly Cloudy
2021-07-09 15:00:00,,,,,,0.0,21.18,58.0,Mostly Sunny
2021-07-09 15:05:00,,,,,,0.0,21.05666667,58.33333333,Mostly Sunny
2021-07-09 15:10:00,,,,,,0.0,20.93333333,58.66666667,Mostly Sunny
2021-07-09 15:15:00,,,,,,0.0,20.81,59.0,Mostly Sunny
2021-07-09 15:20:00,,,,,,0.0,20.81,59.0,Mostly Sunny
2021-07-09 15:25:00,,,,,,0.0,20.81,59.0,Mostly Sunny
2021-07-09 15:30:00,,,,,,0.0,20.81,59.0,Mostly Sunny
2021-07-09 15:35:00,,,,,,0.0,20.81,59.0,Mostly Sunny
2021-07-09 15:40:00,,,,,,0.0,20.81,59.0,Mostly Sunny
2021-07-09 15:45:00,,,,,,0.0,20.81,59.0,Mostly Sunny
2021-07-09 15:50:00,,,,,,0.0,20.87333333,57.66666667,Mostly Sunny
2021-07-09 15:55:00,,,,,,0.0,20.93666667,56.33333333,Mostly Sunny
2021-07-09 16:00:00,,,,,,0.0,21.0,55.0,Mostly Sunny
2021-07-09 16:05:00,,,,,,0.0,21.0,55.0,Mostly Sunny
2021-07-09 16:10:00,,,,,,0.0,21.0,55.0,Mostly Sunny
2021-07-09 16:15:00,,,,,,0.0,21.0,55.0,Mostly Sunny
2021-07-09 16:20:00,,,,,,0.0,21.0,55.0,Mostly Sunny
2021-07-09 16:25:00,,,,,,0.0,21.0,55.0,Mostly Sunny
2021-07-09 16:30:00,,,,,,0.0,21.0,55.0,Mostly Sunny
