,gcn_activation,gc_layer_size,lstm_activation,lstm_layer_size,mse,mae,r2
0,relu,5,relu,100,0.004489524755626917,0.0465986467897892,0.8657646183567481
1,relu,5,relu,200,0.004647184628993273,0.04644076153635979,0.8556600483206901
2,relu,5,relu,300,0.004680759273469448,0.047190308570861816,0.8563172729374666
3,relu,10,relu,100,0.004445895552635193,0.045852575451135635,0.8648221577045233
4,relu,10,relu,200,0.004742415156215429,0.04768521711230278,0.8580250667975833
5,relu,10,relu,300,0.0044734119437634945,0.04585834965109825,0.8628661229706862
6,relu,15,relu,100,0.004746933002024889,0.045977070927619934,0.8502284083765052
7,relu,15,relu,200,0.004608841147273779,0.046072788536548615,0.8604003930472413
8,relu,15,relu,300,0.004450221545994282,0.047172460705041885,0.8687446864046328
9,relu,5,tanh,100,0.004792431369423866,0.04786645621061325,0.8557188089450285
10,relu,5,tanh,200,0.0045302328653633595,0.04598453640937805,0.8622839264332268
11,relu,5,tanh,300,0.004663511179387569,0.046233147382736206,0.856086610439158
12,relu,10,tanh,100,0.004877645522356033,0.046983275562524796,0.8488854407987686
13,relu,10,tanh,200,0.004886026028543711,0.04842681065201759,0.8513868560254227
14,relu,10,tanh,300,0.004745540674775839,0.048220474272966385,0.8606100551184415
15,relu,15,tanh,100,0.004563871771097183,0.04724746569991112,0.8639378667807527
16,relu,15,tanh,200,0.00462883897125721,0.04712313413619995,0.8622377382997426
17,relu,15,tanh,300,0.004512126091867685,0.046687401831150055,0.8641075314535873
18,relu,5,linear,100,0.004763551522046328,0.0476205013692379,0.8555181767534437
19,relu,5,linear,200,0.0048198397271335125,0.047873709350824356,0.8529501076358151
20,relu,5,linear,300,0.0047863321378827095,0.04712478071451187,0.853398708942936
21,relu,10,linear,100,0.004635981284081936,0.04701916128396988,0.8593314889948237
22,relu,10,linear,200,0.00472671864554286,0.046972546726465225,0.8575059481040649
23,relu,10,linear,300,0.00469252560287714,0.046408336609601974,0.8541529225633868
24,relu,15,linear,100,0.004766509868204594,0.04836425185203552,0.8546526654804265
25,relu,15,linear,200,0.004774777218699455,0.04754363000392914,0.8527244508110404
26,relu,15,linear,300,0.004562840797007084,0.04599664732813835,0.8592318043355325
27,tanh,5,relu,100,0.004762435331940651,0.04786480963230133,0.8573666517792885
28,tanh,5,relu,200,0.004891120828688145,0.049201853573322296,0.8543189531825475
29,tanh,5,relu,300,0.004597956780344248,0.04758058488368988,0.8648341621161244
30,tanh,10,relu,100,0.0045668198727071285,0.0460846945643425,0.8595018015563849
31,tanh,10,relu,200,0.004648907575756311,0.046919263899326324,0.8596727461134465
32,tanh,10,relu,300,0.004749133717268705,0.04700394719839096,0.8527198722476124
33,tanh,15,relu,100,0.004642713349312544,0.047327037900686264,0.8624404722119938
34,tanh,15,relu,200,0.004552334081381559,0.046711038798093796,0.8625957999716388
35,tanh,15,relu,300,0.004539096262305975,0.04643707722425461,0.860112816116387
36,tanh,5,tanh,100,0.004622616805136204,0.04719394072890282,0.8590479319573147
37,tanh,5,tanh,200,0.004772974178195,0.04671231657266617,0.851306415032036
38,tanh,5,tanh,300,0.0046491362154483795,0.04722877964377403,0.8613799689154764
39,tanh,10,tanh,100,0.004611419513821602,0.04660849645733833,0.857496469302233
40,tanh,10,tanh,200,0.004581435117870569,0.04652266949415207,0.8611235661184526
41,tanh,10,tanh,300,0.004787541460245848,0.046828433871269226,0.8502855733360847
42,tanh,15,tanh,100,0.004611826501786709,0.04678231477737427,0.8610115927431836
43,tanh,15,tanh,200,0.004625452682375908,0.04635646939277649,0.8563055862764724
44,tanh,15,tanh,300,0.004712880123406649,0.04772539436817169,0.860393297228896
45,tanh,5,linear,100,0.004782804287970066,0.04717731475830078,0.8529036698588378
46,tanh,5,linear,200,0.004606025759130716,0.046961646527051926,0.8631428511021524
47,tanh,5,linear,300,0.004831824451684952,0.047934163361787796,0.8538451548974384
48,tanh,10,linear,100,0.004702562000602484,0.04713795706629753,0.8558711798917643
49,tanh,10,linear,200,0.004757328424602747,0.048684585839509964,0.8602681478419237
