,gcn_activation,gc_layer_size,lstm_activation,lstm_layer_size,mse,mae,r2
0,relu,5,relu,100,0.004053395241498947,0.04415668174624443,0.8770690199014486
1,relu,5,relu,200,0.003848050953820348,0.043408121913671494,0.8839316096620908
2,relu,5,relu,300,0.0035503481049090624,0.041485123336315155,0.8938121947537184
3,relu,10,relu,100,0.003693809499964118,0.04296199604868889,0.889601736991174
4,relu,10,relu,200,0.003614214714616537,0.042179472744464874,0.8929959702407266
5,relu,10,relu,300,0.003722246503457427,0.04253267124295235,0.8884155964052163
6,relu,15,relu,100,0.0040145269595086575,0.044222068041563034,0.8810356347380914
7,relu,15,relu,200,0.0038222891744226217,0.04411647468805313,0.8872251209141131
8,relu,15,relu,300,0.003707459196448326,0.043027594685554504,0.8880540160391883
9,relu,5,tanh,100,0.003706051502376795,0.04284796863794327,0.8892152328952215
10,relu,5,tanh,200,0.003533914452418685,0.04144200310111046,0.8956074902106911
11,relu,5,tanh,300,0.0040618740022182465,0.044318635016679764,0.8783735705472193
12,relu,10,tanh,100,0.0035093980841338634,0.041042111814022064,0.8942845794064883
13,relu,10,tanh,200,0.0036833672784268856,0.04248865321278572,0.8907651529153662
14,relu,10,tanh,300,0.0032647682819515467,0.039532601833343506,0.9030155763049226
15,relu,15,tanh,100,0.0036776934284716845,0.041976142674684525,0.8873573098521501
16,relu,15,tanh,200,0.0034463440533727407,0.03983108326792717,0.8936325494545032
17,relu,15,tanh,300,0.0037020959425717592,0.04229196533560753,0.8901447865856378
18,relu,5,linear,100,0.0041434806771576405,0.04450523108243942,0.8727853117533824
19,relu,5,linear,200,0.003965998999774456,0.04327962175011635,0.8789802474170368
20,relu,5,linear,300,0.0034422387834638357,0.04033070057630539,0.8969774616688371
21,relu,10,linear,100,0.0033546637278050184,0.04007392004132271,0.8996888555765333
22,relu,10,linear,200,0.0035517732612788677,0.04079107567667961,0.8930555020733406
23,relu,10,linear,300,0.003264439757913351,0.0394321046769619,0.9013121967402151
24,relu,15,linear,100,0.0036744247190654278,0.04159768670797348,0.8890259709532641
25,relu,15,linear,200,0.0032428568229079247,0.03909316286444664,0.9039385885831057
26,relu,15,linear,300,0.0035650450736284256,0.04151519760489464,0.8933649584056182
27,tanh,5,relu,100,0.0038876289036124945,0.043866947293281555,0.8841769836507443
28,tanh,5,relu,200,0.0034961733035743237,0.04151102155447006,0.896803200125456
29,tanh,5,relu,300,0.0038954440969973803,0.04342769831418991,0.8844194117597405
30,tanh,10,relu,100,0.00362937874160707,0.04222700372338295,0.8916985447789986
31,tanh,10,relu,200,0.003650759346783161,0.04229436069726944,0.8899184482281108
32,tanh,10,relu,300,0.003612339263781905,0.041320253163576126,0.8910652872742353
33,tanh,15,relu,100,0.003945105243474245,0.044389910995960236,0.8838348152574705
34,tanh,15,relu,200,0.0036483968142420053,0.04226227477192879,0.8904257253269129
35,tanh,15,relu,300,0.0033332789316773415,0.0399286113679409,0.9006033346631329
36,tanh,5,tanh,100,0.003748789196833968,0.04257075488567352,0.888484258598766
37,tanh,5,tanh,200,0.0032816408202052116,0.0395757295191288,0.9012923231814525
38,tanh,5,tanh,300,0.0038521569222211838,0.043906256556510925,0.882808536594209
39,tanh,10,tanh,100,0.0034370135981589556,0.040195029228925705,0.8964303719319018
40,tanh,10,tanh,200,0.0031325079035013914,0.037571635097265244,0.9063179304628038
41,tanh,10,tanh,300,0.0035245302133262157,0.04132431000471115,0.8940707963198106
42,tanh,15,tanh,100,0.003664697054773569,0.04202353581786156,0.8900900827767444
43,tanh,15,tanh,200,0.0031240065582096577,0.03827989101409912,0.9077570324055427
44,tanh,15,tanh,300,0.003342000301927328,0.03990194946527481,0.9016902996827159
45,tanh,5,linear,100,0.0036545470356941223,0.041825804859399796,0.8896387406750242
46,tanh,5,linear,200,0.003529597306624055,0.04141613468527794,0.8939721118804331
47,tanh,5,linear,300,0.003471754025667906,0.04082286357879639,0.896312232457657
48,tanh,10,linear,100,0.003807181492447853,0.04257528856396675,0.8850170795529302
49,tanh,10,linear,200,0.0032180564012378454,0.03935256227850914,0.9029193903504488
50,tanh,10,linear,300,0.003150924574583769,0.03853989019989967,0.9055062237812871
51,tanh,15,linear,100,0.0034946459345519543,0.04029194265604019,0.8939602069527872
52,tanh,15,linear,200,0.0033722820226103067,0.04009871184825897,0.8974282852061608
53,tanh,15,linear,300,0.003092477098107338,0.038152534514665604,0.9078302023401836
54,linear,5,relu,100,0.003818341065198183,0.04293243959546089,0.8849521361657432
55,linear,5,relu,200,0.0034021404571831226,0.04039720073342323,0.8975849512997963
56,linear,5,relu,300,0.0035800847690552473,0.04075498506426811,0.892826668604588
57,linear,10,relu,100,0.003946841228753328,0.04319879040122032,0.8806813429028935
58,linear,10,relu,200,0.003546125255525112,0.04131263494491577,0.8924181851296966
59,linear,10,relu,300,0.00373442773707211,0.04311506822705269,0.8929811579789709
60,linear,15,relu,100,0.003732618410140276,0.04218344762921333,0.8876680381147972
61,linear,15,relu,200,0.003676636843010783,0.04121693596243858,0.8884562090546917
62,linear,15,relu,300,0.003364458680152893,0.040138889104127884,0.8988088218024234
63,linear,5,tanh,100,0.003663691459223628,0.04145333170890808,0.8898710278053985
64,linear,5,tanh,200,0.0036572886165231466,0.041580986231565475,0.8884978722091683
65,linear,5,tanh,300,0.0035925100091844797,0.042414020746946335,0.893267302167798
66,linear,10,tanh,100,0.0034649656154215336,0.04088126868009567,0.8950366464972809
67,linear,10,tanh,200,0.003304050536826253,0.03960267826914787,0.9015611177012514
68,linear,10,tanh,300,0.0033407695591449738,0.039716195315122604,0.8999223592764518
69,linear,15,tanh,100,0.003356528701260686,0.03995702415704727,0.899424284443933
70,linear,15,tanh,200,0.0033145658671855927,0.039512261748313904,0.8997724812234188
71,linear,15,tanh,300,0.0032429988496005535,0.03889844939112663,0.9021831369841612
72,linear,5,linear,100,0.003727796021848917,0.04262707382440567,0.8891229099344915
73,linear,5,linear,200,0.0034946950618177652,0.041064854711294174,0.8951147167353769
74,linear,5,linear,300,0.003620701842010021,0.04148484766483307,0.8919823479311096
75,linear,10,linear,100,0.003641135059297085,0.04177079722285271,0.8915184587061386
76,linear,10,linear,200,0.0030761531088501215,0.038185156881809235,0.90949456751426
77,linear,10,linear,300,0.003301889868453145,0.03928171098232269,0.9018943710757938
78,linear,15,linear,100,0.0034420876763761044,0.041252899914979935,0.8966061147106397
79,linear,15,linear,200,0.003409168217331171,0.04098444804549217,0.899902318719989
80,linear,15,linear,300,0.003153884317725897,0.039110276848077774,0.9056410463403658
