,data_fusion_activation,gcn_activation,gc_layer_size,lstm_activation,lstm_layer_size,mse,mae,r2
0,linear,relu,5,relu,100,0.00455138087272644,0.048575419932603836,0.866086639645252
1,linear,relu,5,relu,200,0.004780037794262171,0.04904972389340401,0.8584754380430566
2,linear,relu,5,relu,300,0.00419624662026763,0.045178040862083435,0.8756707160266778
3,linear,relu,10,relu,100,0.004517176188528538,0.04814016446471214,0.8678499047796345
4,linear,relu,10,relu,200,0.004259256646037102,0.04692665860056877,0.8763046895896753
5,linear,relu,10,relu,300,0.004323452711105347,0.0470721609890461,0.8722941694582604
6,linear,relu,15,relu,100,0.004810716956853867,0.04977020248770714,0.8588590677439358
7,linear,relu,15,relu,200,0.004605673253536224,0.04893384501338005,0.8671815078454135
8,linear,relu,15,relu,300,0.005396721418946981,0.052739620208740234,0.8456862947617032
9,linear,relu,5,tanh,100,0.004474028944969177,0.0481041744351387,0.8680266285389455
10,linear,relu,5,tanh,200,0.004545457661151886,0.04808950424194336,0.8652167571623147
11,linear,relu,5,tanh,300,0.004336238838732243,0.0461755096912384,0.8690514651375068
12,linear,relu,10,tanh,100,0.004475158639252186,0.046559274196624756,0.8655524150880624
13,linear,relu,10,tanh,200,0.0038368278183043003,0.04293106123805046,0.8854527597663171
14,linear,relu,10,tanh,300,0.005435486789792776,0.052917785942554474,0.839118348220378
15,linear,relu,15,tanh,100,0.00488301320001483,0.04946419969201088,0.8510442730546327
16,linear,relu,15,tanh,200,0.004231058061122894,0.045711297541856766,0.8735776763933178
17,linear,relu,15,tanh,300,0.0043625617399811745,0.04676980897784233,0.8715131534063629
18,linear,relu,5,linear,100,0.005076213739812374,0.05140967294573784,0.8523497171231735
19,linear,relu,5,linear,200,0.004759187810122967,0.049477603286504745,0.8626025269172062
20,linear,relu,5,linear,300,0.004370005335658789,0.04605439305305481,0.8681287263657493
21,linear,relu,10,linear,100,0.004567433148622513,0.04802324250340462,0.8650379097266969
22,linear,relu,10,linear,200,0.004320821259170771,0.04635278880596161,0.8709502313288073
23,linear,relu,10,linear,300,0.0043073915876448154,0.045980289578437805,0.8717301678467514
24,linear,relu,15,linear,100,0.005461647175252438,0.051459748297929764,0.8393081554938417
25,linear,relu,15,linear,200,0.004375680815428495,0.04733183607459068,0.8715759039144394
26,linear,relu,15,linear,300,0.004473014269024134,0.047196630388498306,0.8652389909875589
27,linear,tanh,5,relu,100,0.004529613070189953,0.04794478416442871,0.8644389442318463
28,linear,tanh,5,relu,200,0.0037207461427897215,0.0428539477288723,0.8894946370553056
29,linear,tanh,5,relu,300,0.004490894265472889,0.046303264796733856,0.8649569357882215
30,linear,tanh,10,relu,100,0.004454738460481167,0.047111883759498596,0.8673378866936062
31,linear,tanh,10,relu,200,0.004828889854252338,0.049234312027692795,0.8540371903682104
32,linear,tanh,10,relu,300,0.004890644457191229,0.0505010224878788,0.8581991771185868
33,linear,tanh,15,relu,100,0.004304624628275633,0.047268956899642944,0.8733280940997677
34,linear,tanh,15,relu,200,0.003882345510646701,0.04415455088019371,0.883616502620373
35,linear,tanh,15,relu,300,0.004289722535759211,0.04676306992769241,0.8729389488957923
36,linear,tanh,5,tanh,100,0.003734435886144638,0.042490556836128235,0.8885370481694921
37,linear,tanh,5,tanh,200,0.004103005863726139,0.04550498351454735,0.8784996337745685
38,linear,tanh,5,tanh,300,0.0033373648766428232,0.04009373486042023,0.9018347403518786
39,linear,tanh,10,tanh,100,0.004461366683244705,0.04766159877181053,0.8686911456579618
40,linear,tanh,10,tanh,200,0.003659619716927409,0.04226440563797951,0.8900921155688251
41,linear,tanh,10,tanh,300,0.003760283114388585,0.04409648850560188,0.8904047401370154
42,linear,tanh,15,tanh,100,0.004112612921744585,0.04518537223339081,0.8792014069403074
43,linear,tanh,15,tanh,200,0.004038122016936541,0.04518527537584305,0.8780398312467845
44,linear,tanh,15,tanh,300,0.0035271390806883574,0.04164429381489754,0.8937377941424106
45,linear,tanh,5,linear,100,0.00388382188975811,0.04374492168426514,0.8832433240054139
46,linear,tanh,5,linear,200,0.0038156488444656134,0.043857984244823456,0.8876294526254217
47,linear,tanh,5,linear,300,0.0036024830769747496,0.0415068082511425,0.8938539283730685
48,linear,tanh,10,linear,100,0.003823626786470413,0.04260619357228279,0.8852269944319019
49,linear,tanh,10,linear,200,0.0036616232246160507,0.04318251460790634,0.8928499896795435
50,linear,tanh,10,linear,300,0.004300952889025211,0.04773281514644623,0.8739593784468817
51,linear,tanh,15,linear,100,0.0038362042978405952,0.044645607471466064,0.8875217760690738
52,linear,tanh,15,linear,200,0.0038348103407770395,0.04441758245229721,0.8869788403155876
53,linear,tanh,15,linear,300,0.003845660947263241,0.04344799742102623,0.8868358645999183
54,linear,linear,5,relu,100,0.0038275918923318386,0.0431145504117012,0.8838984969101913
55,linear,linear,5,relu,200,0.004405570216476917,0.04706578701734543,0.8702791415165743
56,linear,linear,5,relu,300,0.004071402363479137,0.045818742364645004,0.8815750394806705
57,linear,linear,10,relu,100,0.005474482662975788,0.05269536375999451,0.8387666411536969
58,linear,linear,10,relu,200,0.004238177556544542,0.04584846273064613,0.8733583549904446
59,linear,linear,10,relu,300,0.004157716408371925,0.04580531269311905,0.8800516360741292
60,linear,linear,15,relu,100,0.004037575330585241,0.04462623968720436,0.879452594762427
61,linear,linear,15,relu,200,0.0036886991001665592,0.04319365695118904,0.8899678639895301
62,linear,linear,15,relu,300,0.004284025169909,0.04614594951272011,0.8737142405822436
63,linear,linear,5,tanh,100,0.00423370860517025,0.04620197042822838,0.8749177313379142
64,linear,linear,5,tanh,200,0.004064058884978294,0.045484110713005066,0.8809901051723414
65,linear,linear,5,tanh,300,0.0041596475057303905,0.045179594308137894,0.8766071106670474
66,linear,linear,10,tanh,100,0.0045470623299479485,0.04781760275363922,0.8649784146958631
67,linear,linear,10,tanh,200,0.0032379848416894674,0.039127953350543976,0.9054784159433914
68,linear,linear,10,tanh,300,0.004828662611544132,0.05027250945568085,0.859815594878293
69,linear,linear,15,tanh,100,0.0037384808529168367,0.042672403156757355,0.8897247735061055
70,linear,linear,15,tanh,200,0.0039034318178892136,0.04434916004538536,0.88374890446247
71,linear,linear,15,tanh,300,0.004140195436775684,0.045619260519742966,0.8776910592462542
72,linear,linear,5,linear,100,0.0044001382775604725,0.046811237931251526,0.869399788318833
73,linear,linear,5,linear,200,0.0041564395651221275,0.04613511264324188,0.8782248240313727
74,linear,linear,5,linear,300,0.003835155861452222,0.04347408562898636,0.8852050571888582
75,linear,linear,10,linear,100,0.004091741517186165,0.04487283155322075,0.8778746777340414
76,linear,linear,10,linear,200,0.004130873363465071,0.046063508838415146,0.878096004974927
77,linear,linear,10,linear,300,0.0031111265998333693,0.03851110488176346,0.9091577796418431
78,linear,linear,15,linear,100,0.0044328379444777966,0.046337809413671494,0.8643770322501401
79,linear,linear,15,linear,200,0.004317162092775106,0.04589146748185158,0.8724982914611035
80,linear,linear,15,linear,300,0.0032561400439590216,0.039817530661821365,0.9035398739692457
