model,pre_len,rmse,mae,r2
lr,5,5.46374,3.789122,0.914717
lstm,5,5.93773,4.37398,0.901814
tgcn,5,5.488663,4.003191,0.92139
tgcn-wx,5,6.096779,4.574113,0.90118
lr,15,7.150757,5.244433,0.860439
lstm,15,7.130414,5.30366,0.859549
tgcn,15,7.069072,5.115252,0.854056
tgcn-wx,15,7.222021,5.449139,0.85749
lr,30,7.490216,5.578471,0.845005
lstm,30,7.36419,5.542343,0.848898
tgcn,30,7.134702,5.361877,0.858515
tgcn-wx,30,7.665388,5.845281,0.842858
lr,60,7.842178,5.86438,0.823471
lstm,60,7.688868,5.751751,0.831379
tgcn,60,7.60955,5.708341,0.833217
tgcn-wx,60,7.913114,5.962705,0.827209
